
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:09:57 2019
Timers Off: Sun Dec 29 14:12:40 2019

Wall Time:      162.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.013w    187 calls
| | New vector                      :      0.067u      0.083s      0.053w    187 calls
HF: Form C                          :      0.717u      0.000s      0.442w    199 calls
DFMP2 Singles                       :      0.017u      0.000s      0.006w     13 calls
DFMP2 Aia                           :     10.633u      0.450s      6.679w     13 calls
| DFMP2 (A|mn)                      :      8.067u      0.017s      4.844w     13 calls
| DFMP2 (A|mn)C_mi                  :      0.467u      0.000s      0.307w     13 calls
| DFMP2 (A|mi)C_na                  :      0.250u      0.000s      0.149w     13 calls
| DFMP2 Aia Write                   :      0.000u      0.183s      0.114w     13 calls
DFMP2 iaQ                           :      3.633u      0.483s      2.474w     13 calls
| DFMP2 Metric                      :      2.217u      0.000s      1.340w     13 calls
| DFMP2 Aia Read                    :      0.000u      0.083s      0.056w     13 calls
| DFMP2 (Q|A)(A|ia)                 :      1.217u      0.000s      0.751w     26 calls
| DFMP2 Qia Write                   :      0.000u      0.150s      0.086w     13 calls
| DFMP2 Qia Read                    :      0.000u      0.117s      0.058w     13 calls
| DFMP2 Bia Write                   :      0.000u      0.133s      0.088w     13 calls
DFMP2 aiQ                           :      0.033u      0.233s      0.171w     13 calls
DFMP2 Tij                           :      9.300u      0.833s      6.083w     13 calls
| DFMP2 Qia Read                    :      0.133u      0.083s      0.099w     26 calls
| DFMP2 Cia Read                    :      0.000u      0.117s      0.053w     13 calls
| DFMP2 I                           :      2.767u      0.000s      1.695w     13 calls
| DFMP2 T2                          :      2.083u      0.000s      1.228w     13 calls
| DFMP2 G                           :      3.067u      0.000s      1.841w     13 calls
| DFMP2 Pab                         :      1.033u      0.000s      0.627w     13 calls
| DFMP2 Gia Write                   :      0.000u      0.117s      0.092w     13 calls
DFMP2 Tab                           :      5.600u      0.617s      3.720w     13 calls
| DFMP2 Qai Read                    :      0.017u      0.067s      0.092w     26 calls
| DFMP2 I                           :      2.867u      0.000s      1.727w     13 calls
| DFMP2 T2                          :      2.000u      0.017s      1.191w     13 calls
| DFMP2 Pij                         :      0.550u      0.000s      0.327w     13 calls
DFMP2 gamma                         :      0.750u      0.233s      0.574w     13 calls
| DFMP2 Gia Read                    :      0.000u      0.100s      0.060w     13 calls
| DFMP2 Cia Read                    :      0.000u      0.083s      0.049w     13 calls
| DFMP2 g                           :      0.650u      0.000s      0.402w     13 calls
DFMP2 Gia                           :      0.183u      0.317s      0.314w     13 calls
| DFMP2 Gia Read                    :      0.000u      0.100s      0.038w     13 calls
| DFMP2 aiG Write                   :      0.017u      0.100s      0.079w     13 calls
DFMP2 AB^x                          :      1.233u      0.000s      0.769w     13 calls
