
Host: node37.bme.utexas.edu

Timers On : Wed Apr  1 17:40:37 2020
Timers Off: Wed Apr  1 17:44:31 2020

Wall Time:      234.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| Properties                        :     33.944p                          33992 calls
| Functional                        :      8.170p                          33992 calls
| V_xc gradient                     :     22.173p                          33992 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Wed Apr  1 17:41:07 2020
Timers Off: Wed Apr  1 17:44:57 2020

Wall Time:      230.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     45.600u      1.383s      7.069w     12 calls
JK: (A|mn)                          :     43.050u      0.067s      6.464w     12 calls
JK: (A|Q)^-1/2                      :     26.850u      0.900s      4.170w     12 calls
JK: (Q|mn)                          :     16.583u      0.283s      2.537w     12 calls
JK: (A|mn)^L                        :     19.433u      0.083s      2.932w     12 calls
JK: (A|Q)^-1                        :     25.417u      0.817s      3.939w     12 calls
JK: (Q|mn)^L                        :     16.350u      0.317s      2.495w     12 calls
JK: (A|mn)^R                        :     25.117u      0.100s      3.789w     12 calls
HF: Form core H                     :      1.650u      0.183s      0.359w     12 calls
HF: Form S/X                        :      0.367u      0.000s      0.055w     12 calls
HF: Guess                           :      4.017u      0.200s      0.634w     12 calls
SAD Guess                           :      3.917u      0.183s      0.617w      1 calls
HF: Form G                          :    681.850u     17.083s    104.889w    126 calls
RV: Form V                          :    433.867u     10.900s     66.719w    126 calls
Properties                          :    111.230p                         390987 calls
Functional                          :     93.522p                         390987 calls
V_xc                                :     99.203p                         356989 calls
JK: D                               :      0.067u      0.000s      0.011w    126 calls
JK: USO2AO                          :      0.100u      0.000s      0.011w    126 calls
JK: JK                              :    247.617u      6.150s     38.110w    126 calls
JK: J                               :      4.233u      0.567s      0.709w    126 calls
JK: J1                              :      2.267u      0.567s      0.425w    126 calls
JK: J2                              :      1.917u      0.000s      0.272w    126 calls
JK: K                               :     98.150u      0.483s     14.803w    126 calls
JK: K1                              :     79.417u      0.400s     11.986w    126 calls
JK: K2                              :     18.667u      0.083s      2.811w    126 calls
JK: wK                              :    132.617u      3.400s     20.411w    252 calls
JK: wK1                             :    113.400u      3.217s     17.497w    504 calls
JK: wK2                             :     19.150u      0.167s      2.901w    252 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    126 calls
HF: Form F                          :      0.083u      0.000s      0.012w    126 calls
HF: Form D                          :      0.017u      0.000s      0.009w    126 calls
HF: DIIS                            :      1.817u      0.300s      0.326w    125 calls
DIISManager::add_entry              :      0.550u      0.117s      0.090w    114 calls
DIISManager::extrapolate            :      0.367u      0.117s      0.095w    114 calls
bMatrix setup                       :      0.133u      0.050s      0.043w    114 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.012w    114 calls
New vector                          :      0.167u      0.067s      0.038w    114 calls
HF: Form C                          :      3.400u      0.150s      0.532w    125 calls
Grad: V T Perturb                   :     10.217u      0.300s      1.573w     12 calls
Grad: S                             :      0.067u      0.017s      0.017w     12 calls
Grad: JK                            :    349.150u      7.067s     53.929w     12 calls
JKGrad: Amn                         :     39.750u      1.350s      6.385w     12 calls
JKGrad: Awmn                        :     42.283u      0.767s      6.456w     12 calls
JKGrad: AB                          :     32.167u      1.300s      5.020w     12 calls
JKGrad: UV                          :      6.033u      0.467s      0.975w     12 calls
JKGrad: ABx                         :      7.550u      0.350s      1.185w     12 calls
JKGrad: Amnx                        :    215.283u      2.217s     32.840w     12 calls
Grad: XC                            :    102.167u      0.550s     15.401w     12 calls
V_xc gradient                       :     21.370p                          33998 calls

--------------------------------------------------------------------------------------
V: Grid                             :     45.600u      1.383s      7.069w     12 calls
JK: (A|mn)                          :     43.050u      0.067s      6.464w     12 calls
JK: (A|Q)^-1/2                      :     26.850u      0.900s      4.170w     12 calls
JK: (Q|mn)                          :     16.583u      0.283s      2.537w     12 calls
JK: (A|mn)^L                        :     19.433u      0.083s      2.932w     12 calls
JK: (A|Q)^-1                        :     25.417u      0.817s      3.939w     12 calls
JK: (Q|mn)^L                        :     16.350u      0.317s      2.495w     12 calls
JK: (A|mn)^R                        :     25.117u      0.100s      3.789w     12 calls
HF: Form core H                     :      1.650u      0.183s      0.359w     12 calls
HF: Form S/X                        :      0.367u      0.000s      0.055w     12 calls
HF: Guess                           :      4.017u      0.200s      0.634w     12 calls
| SAD Guess                         :      3.917u      0.183s      0.617w      1 calls
HF: Form G                          :    681.850u     17.083s    104.889w    126 calls
| RV: Form V                        :    433.867u     10.900s     66.719w    126 calls
| | Properties                      :     79.853p                         356989 calls
| | Functional                      :     85.342p                         356989 calls
| | V_xc                            :     99.203p                         356989 calls
| JK: D                             :      0.067u      0.000s      0.011w    126 calls
| JK: USO2AO                        :      0.100u      0.000s      0.011w    126 calls
| JK: JK                            :    247.617u      6.150s     38.110w    126 calls
| | JK: J                           :      4.233u      0.567s      0.709w    126 calls
| | | JK: J1                        :      2.267u      0.567s      0.425w    126 calls
| | | JK: J2                        :      1.917u      0.000s      0.272w    126 calls
| | JK: K                           :     98.150u      0.483s     14.803w    126 calls
| | | JK: K1                        :     79.417u      0.400s     11.986w    126 calls
| | | JK: K2                        :     18.667u      0.083s      2.811w    126 calls
| | JK: wK                          :    132.617u      3.400s     20.411w    252 calls
| | | JK: wK1                       :    113.400u      3.217s     17.497w    504 calls
| | | JK: wK2                       :     19.150u      0.167s      2.901w    252 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    126 calls
HF: Form F                          :      0.083u      0.000s      0.012w    126 calls
HF: Form D                          :      0.017u      0.000s      0.009w    126 calls
HF: DIIS                            :      1.817u      0.300s      0.326w    125 calls
| DIISManager::add_entry            :      0.550u      0.117s      0.090w    114 calls
| DIISManager::extrapolate          :      0.367u      0.117s      0.095w    114 calls
| | bMatrix setup                   :      0.133u      0.050s      0.043w    114 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.012w    114 calls
| | New vector                      :      0.167u      0.067s      0.038w    114 calls
HF: Form C                          :      3.400u      0.150s      0.532w    125 calls
Grad: V T Perturb                   :     10.217u      0.300s      1.573w     12 calls
Grad: S                             :      0.067u      0.017s      0.017w     12 calls
Grad: JK                            :    349.150u      7.067s     53.929w     12 calls
| JKGrad: Amn                       :     39.750u      1.350s      6.385w     12 calls
| JKGrad: Awmn                      :     42.283u      0.767s      6.456w     12 calls
| JKGrad: AB                        :     32.167u      1.300s      5.020w     12 calls
| JKGrad: UV                        :      6.033u      0.467s      0.975w     12 calls
| JKGrad: ABx                       :      7.550u      0.350s      1.185w     12 calls
| JKGrad: Amnx                      :    215.283u      2.217s     32.840w     12 calls
Grad: XC                            :    102.167u      0.550s     15.401w     12 calls
| Properties                        :     31.377p                          33998 calls
| Functional                        :      8.180p                          33998 calls
| V_xc gradient                     :     21.370p                          33998 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Wed Apr  1 18:13:45 2020
Timers Off: Wed Apr  1 18:13:56 2020

Wall Time:       10.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.100u      0.017s      0.072w      1 calls
DFH: initialize()                   :     13.400u      1.267s      2.237w      1 calls
DFH: AO Construction                :      3.750u      0.150s      0.584w      1 calls
DFH: AO-Met. Contraction            :      5.417u      0.867s      0.970w      1 calls
HF: Form core H                     :      0.067u      0.017s      0.036w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.016w      1 calls
HF: Guess                           :      4.167u      0.283s      0.668w      1 calls
SAD Guess                           :      4.083u      0.283s      0.653w      1 calls
HF: Form G                          :     12.533u      1.167s      2.053w     13 calls
JK: D                               :      0.000u      0.000s      0.002w     13 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w     13 calls
JK: JK                              :     12.467u      1.167s      2.041w     13 calls
DFH: compute_JK()                   :     12.467u      1.167s      2.041w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     13 calls
DFH: compute_J                      :      2.717u      0.050s      0.413w     13 calls
DFH: compute_K                      :      9.300u      0.900s      1.532w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.003w     13 calls
