
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:25:21 2019
Timers Off: Sun Dec 29 13:25:23 2019

Wall Time:        2.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w     17 calls
| | New vector                      :      0.000u      0.000s      0.000w     17 calls
HF: Form C                          :      0.000u      0.000s      0.002w     18 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      2 calls
DFMP2 Aia                           :      0.183u      0.000s      0.106w      2 calls
| DFMP2 (A|mn)                      :      0.000u      0.000s      0.007w      2 calls
| DFMP2 (A|mn)C_mi                  :      0.000u      0.000s      0.000w      2 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.000w      2 calls
DFMP2 iaQ                           :      0.117u      0.000s      0.074w      2 calls
| DFMP2 Metric                      :      0.117u      0.000s      0.073w      2 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 (Q|A)(A|ia)                 :      0.000u      0.000s      0.000w      4 calls
| DFMP2 Qia Write                   :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.000w      2 calls
DFMP2 aiQ                           :      0.000u      0.000s      0.001w      2 calls
DFMP2 Tij                           :      0.000u      0.000s      0.001w      2 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.000w      4 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 I                           :      0.000u      0.000s      0.000w      2 calls
| DFMP2 T2                          :      0.000u      0.000s      0.000w      2 calls
| DFMP2 G                           :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Pab                         :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Gia Write                   :      0.000u      0.000s      0.000w      2 calls
DFMP2 Tab                           :      0.000u      0.000s      0.001w      2 calls
| DFMP2 Qai Read                    :      0.000u      0.000s      0.000w      4 calls
| DFMP2 I                           :      0.000u      0.000s      0.000w      2 calls
| DFMP2 T2                          :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Pij                         :      0.000u      0.000s      0.000w      2 calls
DFMP2 gamma                         :      0.000u      0.000s      0.001w      2 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 g                           :      0.000u      0.000s      0.000w      2 calls
DFMP2 Gia                           :      0.000u      0.000s      0.001w      2 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.000w      2 calls
| DFMP2 aiG Write                   :      0.000u      0.000s      0.000w      2 calls
DFMP2 AB^x                          :      0.083u      0.000s      0.051w      2 calls
DFMP2 Amn^x                         :      0.217u      0.017s      0.128w      2 calls
DFMP2 L                             :      0.183u      0.000s      0.106w      2 calls
DFMP2 P                             :      0.000u      0.000s      0.000w      2 calls
DFMP2 W                             :      0.000u      0.000s      0.001w      2 calls
DFMP2 Z                             :      0.367u      0.000s      0.220w      2 calls
| DFH: sparsity prep                :      0.083u      0.000s      0.051w      2 calls
| DFH: initialize()                 :      0.233u      0.000s      0.137w      2 calls
