
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:03:14 2019
Timers Off: Sun Dec 29 14:03:20 2019

Wall Time:        5.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     45 calls
| | New vector                      :      0.000u      0.000s      0.001w     45 calls
HF: Form C                          :      0.017u      0.000s      0.010w     48 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      4 calls
DFMP2 Aia                           :      0.467u      0.000s      0.268w      4 calls
| DFMP2 (A|mn)                      :      0.100u      0.000s      0.051w      4 calls
| DFMP2 (A|mn)C_mi                  :      0.000u      0.000s      0.001w      4 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.001w      4 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.001w      4 calls
DFMP2 iaQ                           :      0.283u      0.000s      0.176w      4 calls
| DFMP2 Metric                      :      0.283u      0.000s      0.168w      4 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.001w      4 calls
| DFMP2 (Q|A)(A|ia)                 :      0.000u      0.000s      0.003w      8 calls
| DFMP2 Qia Write                   :      0.000u      0.000s      0.001w      4 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.000w      4 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.001w      4 calls
DFMP2 aiQ                           :      0.000u      0.000s      0.004w      4 calls
DFMP2 Tij                           :      0.017u      0.000s      0.011w      4 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.000w      8 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.000w      4 calls
| DFMP2 I                           :      0.017u      0.000s      0.003w      4 calls
| DFMP2 T2                          :      0.000u      0.000s      0.001w      4 calls
| DFMP2 G                           :      0.000u      0.000s      0.002w      4 calls
| DFMP2 Pab                         :      0.000u      0.000s      0.001w      4 calls
| DFMP2 Gia Write                   :      0.000u      0.000s      0.001w      4 calls
DFMP2 Tab                           :      0.000u      0.000s      0.006w      4 calls
| DFMP2 Qai Read                    :      0.000u      0.000s      0.000w      8 calls
| DFMP2 I                           :      0.000u      0.000s      0.002w      4 calls
| DFMP2 T2                          :      0.000u      0.000s      0.001w      4 calls
| DFMP2 Pij                         :      0.000u      0.000s      0.000w      4 calls
DFMP2 gamma                         :      0.000u      0.000s      0.004w      4 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.000w      4 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.000w      4 calls
| DFMP2 g                           :      0.000u      0.000s      0.002w      4 calls
DFMP2 Gia                           :      0.000u      0.017s      0.007w      4 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.000w      4 calls
| DFMP2 aiG Write                   :      0.000u      0.000s      0.001w      4 calls
DFMP2 AB^x                          :      0.200u      0.000s      0.122w      4 calls
DFMP2 Amn^x                         :      0.683u      0.000s      0.415w      4 calls
DFMP2 L                             :      0.467u      0.000s      0.273w      4 calls
DFMP2 P                             :      0.000u      0.000s      0.003w      4 calls
DFMP2 W                             :      0.000u      0.000s      0.001w      4 calls
DFMP2 Z                             :      1.033u      0.033s      0.628w      4 calls
| DFH: sparsity prep                :      0.183u      0.000s      0.111w      4 calls
| DFH: initialize()                 :      0.650u      0.017s      0.389w      4 calls
| | DFH: AO Construction            :      0.083u      0.000s      0.065w      4 calls
| | DFH: AO-Met. Contraction        :      0.050u      0.000s      0.018w      4 calls
| JK: D                             :      0.000u      0.000s      0.000w     45 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     45 calls
| JK: JK                            :      0.067u      0.000s      0.065w     45 calls
| | DFH: compute_JK()               :      0.067u      0.000s      0.065w     45 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     45 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.010w     45 calls
| | | DFH: compute_K                :      0.050u      0.000s      0.055w     45 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     45 calls
DFMP2 grad                          :      1.867u      0.000s      1.136w      4 calls
| Grad: V T Perturb                 :      0.133u      0.000s      0.066w      4 calls
| Grad: S                           :      0.000u      0.000s      0.001w      4 calls
| Grad: JK                          :      1.650u      0.000s      1.012w      4 calls
