
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:28:32 2019
Timers Off: Sun Dec 29 13:28:34 2019

Wall Time:        2.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.117u      0.000s      0.073w      1 calls
| DFMP2 (A|mn)                      :      0.033u      0.000s      0.015w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.000u      0.000s      0.000w      1 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.000w      1 calls
DFMP2 Qia                           :      0.083u      0.000s      0.051w      1 calls
| DFMP2 Metric                      :      0.083u      0.000s      0.050w      1 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.000w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Qia Write                   :      0.000u      0.000s      0.000w      1 calls
DFMP2 Energy                        :      0.000u      0.000s      0.001w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.000w      2 calls

**************************************************************************************
