
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 13:35:06 2019
Timers Off: Sun Dec 29 13:36:06 2019

Wall Time:       60.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Aia                           :      0.517u      0.017s      0.325w      1 calls
DFMP2 (A|mn)                        :      0.383u      0.000s      0.233w      1 calls
DFMP2 (A|mn)C_mi                    :      0.017u      0.000s      0.007w      1 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.004w      1 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.002w      1 calls
DFMP2 Qia                           :      0.183u      0.000s      0.116w      1 calls
DFMP2 Metric                        :      0.167u      0.000s      0.099w      1 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.017u      0.000s      0.011w      1 calls
DFMP2 Qia Write                     :      0.000u      0.000s      0.002w      1 calls
DFMP2 Energy                        :      0.033u      0.017s      0.021w      1 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.001w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.035w      1 calls
DFH: initialize()                   :      0.683u      0.033s      0.426w      1 calls
| DFH: AO Construction              :      0.317u      0.000s      0.195w      1 calls
| DFH: AO-Met. Contraction          :      0.150u      0.017s      0.094w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.817u      0.000s      0.495w      1 calls
| SAD Guess                         :      0.800u      0.000s      0.481w      1 calls
HF: Form G                          :      0.433u      0.000s      0.260w     14 calls
| JK: D                             :      0.000u      0.000s      0.000w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     14 calls
| JK: JK                            :      0.433u      0.000s      0.258w     14 calls
| | DFH: compute_JK()               :      0.433u      0.000s      0.258w     14 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     14 calls
| | | DFH: compute_J                :      0.100u      0.000s      0.069w     14 calls
