
Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:30:42 2019
Timers Off: Sun Dec 29 12:30:49 2019

Wall Time:        6.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DIISManager::add_entry              :      0.033u      0.000s      0.037w     82 calls
DIISManager::extrapolate            :      0.000u      0.017s      0.012w     82 calls
bMatrix setup                       :      0.000u      0.017s      0.005w     82 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.003w     82 calls
New vector                          :      0.000u      0.000s      0.004w     82 calls
HF: Form C                          :      0.017u      0.017s      0.033w     90 calls
Grad: V T Perturb                   :      0.283u      0.000s      0.183w      9 calls
Grad: S                             :      0.017u      0.000s      0.003w      9 calls
Grad: JK                            :      6.617u      0.000s      4.196w      9 calls
JKGrad: Amn                         :      0.967u      0.000s      0.592w      9 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      9 calls
JKGrad: AB                          :      0.867u      0.000s      0.546w      9 calls
JKGrad: UV                          :      0.017u      0.000s      0.009w      9 calls
JKGrad: ABx                         :      0.700u      0.000s      0.393w      9 calls
JKGrad: Amnx                        :      3.633u      0.000s      2.195w      9 calls
Grad: XC                            :      0.000u      0.000s      0.000w      9 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.383u      0.017s      0.244w      9 calls
DFH: initialize()                   :      2.000u      0.000s      1.227w      9 calls
| DFH: AO Construction              :      0.600u      0.000s      0.333w      9 calls
| DFH: AO-Met. Contraction          :      0.183u      0.000s      0.121w      9 calls
HF: Form core H                     :      0.017u      0.000s      0.200w      9 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      9 calls
HF: Guess                           :      0.533u      0.000s      0.322w      9 calls
| SAD Guess                         :      0.500u      0.000s      0.310w      1 calls
HF: Form G                          :      0.300u      0.000s      0.186w     91 calls
| JK: D                             :      0.000u      0.000s      0.002w     91 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     91 calls
