
Host: node37.bme.utexas.edu

Timers On : Thu Apr  2 11:00:55 2020
Timers Off: Thu Apr  2 11:05:28 2020

Wall Time:      272.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     43.867u      1.633s      6.973w     16 calls
JK: (A|mn)                          :     43.883u      0.033s      6.595w     16 calls
JK: (A|Q)^-1/2                      :     33.667u      1.400s      5.260w     16 calls
JK: (Q|mn)                          :     16.783u      0.333s      2.558w     16 calls
JK: (A|mn)^L                        :     21.483u      0.167s      3.250w     16 calls
JK: (A|Q)^-1                        :     32.467u      1.250s      5.065w     16 calls
JK: (Q|mn)^L                        :     16.667u      0.717s      2.602w     16 calls
JK: (A|mn)^R                        :     25.617u      0.100s      3.864w     16 calls
HF: Form core H                     :      2.500u      0.267s      0.528w     16 calls
HF: Form S/X                        :      0.500u      0.050s      0.081w     16 calls
HF: Guess                           :      4.383u      0.317s      0.696w     16 calls
SAD Guess                           :      4.183u      0.317s      0.675w      1 calls
HF: Form G                          :    779.817u     14.250s    119.164w    167 calls
RV: Form V                          :    515.083u      8.467s     78.555w    167 calls
Properties                          :    154.351p                         430977 calls
Functional                          :    114.688p                         430977 calls
V_xc                                :    111.490p                         393286 calls
JK: D                               :      0.150u      0.000s      0.019w    167 calls
JK: USO2AO                          :      0.100u      0.017s      0.015w    167 calls
JK: JK                              :    264.117u      5.733s     40.508w    167 calls
JK: J                               :      6.017u      0.633s      1.005w    167 calls
JK: J1                              :      3.317u      0.633s      0.593w    167 calls
JK: J2                              :      2.483u      0.000s      0.388w    167 calls
JK: K                               :    114.850u      0.450s     17.314w    167 calls
JK: K1                              :     95.283u      0.150s     14.329w    167 calls
JK: K2                              :     19.433u      0.300s      2.972w    167 calls
JK: wK                              :    131.367u      3.200s     20.208w    501 calls
JK: wK1                             :    110.500u      2.867s     17.047w   1002 calls
JK: wK2                             :     20.550u      0.333s      3.123w    501 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    167 calls
HF: Form F                          :      0.100u      0.000s      0.021w    167 calls
HF: Form D                          :      0.117u      0.017s      0.015w    167 calls
HF: DIIS                            :      3.317u      0.467s      0.579w    166 calls
DIISManager::add_entry              :      0.733u      0.217s      0.166w    151 calls
DIISManager::extrapolate            :      1.033u      0.167s      0.165w    151 calls
bMatrix setup                       :      0.333u      0.083s      0.066w    151 calls
bMatrix pseudoinverse               :      0.300u      0.017s      0.038w    151 calls
New vector                          :      0.400u      0.067s      0.056w    151 calls
HF: Form C                          :      4.100u      0.267s      0.665w    166 calls
Grad: V T Perturb                   :     12.650u      0.483s      1.983w     16 calls
Grad: S                             :      0.183u      0.000s      0.025w     16 calls
Grad: JK                            :    358.717u     13.717s     57.129w     16 calls
JKGrad: Amn                         :     41.767u      2.067s      6.985w     16 calls
JKGrad: Awmn                        :     42.933u      2.167s      6.782w     16 calls
JKGrad: AB                          :     37.483u      2.050s      5.936w     16 calls
JKGrad: UV                          :      6.500u      0.617s      1.072w     16 calls
JKGrad: ABx                         :     10.067u      0.700s      1.611w     16 calls
JKGrad: Amnx                        :    210.967u      5.133s     33.144w     16 calls
Grad: XC                            :    174.883u      1.200s     26.428w     16 calls
V_xc gradient                       :     34.711p                          37691 calls

--------------------------------------------------------------------------------------
V: Grid                             :     43.867u      1.633s      6.973w     16 calls
JK: (A|mn)                          :     43.883u      0.033s      6.595w     16 calls
JK: (A|Q)^-1/2                      :     33.667u      1.400s      5.260w     16 calls
JK: (Q|mn)                          :     16.783u      0.333s      2.558w     16 calls
JK: (A|mn)^L                        :     21.483u      0.167s      3.250w     16 calls
JK: (A|Q)^-1                        :     32.467u      1.250s      5.065w     16 calls
JK: (Q|mn)^L                        :     16.667u      0.717s      2.602w     16 calls
JK: (A|mn)^R                        :     25.617u      0.100s      3.864w     16 calls
HF: Form core H                     :      2.500u      0.267s      0.528w     16 calls
HF: Form S/X                        :      0.500u      0.050s      0.081w     16 calls
HF: Guess                           :      4.383u      0.317s      0.696w     16 calls
| SAD Guess                         :      4.183u      0.317s      0.675w      1 calls
HF: Form G                          :    779.817u     14.250s    119.164w    167 calls
| RV: Form V                        :    515.083u      8.467s     78.555w    167 calls
| | Properties                      :     95.339p                         393286 calls
| | Functional                      :    103.983p                         393286 calls
| | V_xc                            :    111.490p                         393286 calls
| JK: D                             :      0.150u      0.000s      0.019w    167 calls
| JK: USO2AO                        :      0.100u      0.017s      0.015w    167 calls
| JK: JK                            :    264.117u      5.733s     40.508w    167 calls
| | JK: J                           :      6.017u      0.633s      1.005w    167 calls
| | | JK: J1                        :      3.317u      0.633s      0.593w    167 calls
| | | JK: J2                        :      2.483u      0.000s      0.388w    167 calls
| | JK: K                           :    114.850u      0.450s     17.314w    167 calls
| | | JK: K1                        :     95.283u      0.150s     14.329w    167 calls
| | | JK: K2                        :     19.433u      0.300s      2.972w    167 calls
| | JK: wK                          :    131.367u      3.200s     20.208w    501 calls
| | | JK: wK1                       :    110.500u      2.867s     17.047w   1002 calls
| | | JK: wK2                       :     20.550u      0.333s      3.123w    501 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    167 calls
HF: Form F                          :      0.100u      0.000s      0.021w    167 calls
HF: Form D                          :      0.117u      0.017s      0.015w    167 calls
HF: DIIS                            :      3.317u      0.467s      0.579w    166 calls
| DIISManager::add_entry            :      0.733u      0.217s      0.166w    151 calls
| DIISManager::extrapolate          :      1.033u      0.167s      0.165w    151 calls
| | bMatrix setup                   :      0.333u      0.083s      0.066w    151 calls
| | bMatrix pseudoinverse           :      0.300u      0.017s      0.038w    151 calls
| | New vector                      :      0.400u      0.067s      0.056w    151 calls
HF: Form C                          :      4.100u      0.267s      0.665w    166 calls
Grad: V T Perturb                   :     12.650u      0.483s      1.983w     16 calls
Grad: S                             :      0.183u      0.000s      0.025w     16 calls
Grad: JK                            :    358.717u     13.717s     57.129w     16 calls
| JKGrad: Amn                       :     41.767u      2.067s      6.985w     16 calls
| JKGrad: Awmn                      :     42.933u      2.167s      6.782w     16 calls
| JKGrad: AB                        :     37.483u      2.050s      5.936w     16 calls
| JKGrad: UV                        :      6.500u      0.617s      1.072w     16 calls
| JKGrad: ABx                       :     10.067u      0.700s      1.611w     16 calls
